# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/text_encoders/umt5_xxl_fp8_e4m3fn_scaled.safetensors,file_too_large,File size 6.3GB exceeds limit,2025-08-08T23:56:28.002856
facebook/esm2_t36_3B_UR50D,pytorch_model-00001-of-00002.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:56:58.788947
facebook/esm2_t36_3B_UR50D,tf_model-00001-of-00002.h5,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:57:02.055813
black-forest-labs/FLUX.1-dev,ae.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:05.475386
liuhaotian/llava-v1.5-7b,pytorch_model-00001-of-00002.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:57:06.693208
black-forest-labs/FLUX.1-dev,flux1-dev.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:07.189743
black-forest-labs/FLUX.1-dev,text_encoder/model.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:08.871913
black-forest-labs/FLUX.1-dev,text_encoder_2/model-00001-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:10.559624
black-forest-labs/FLUX.1-dev,text_encoder_2/model-00002-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:12.248513
black-forest-labs/FLUX.1-dev,transformer/diffusion_pytorch_model-00001-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:13.948112
black-forest-labs/FLUX.1-dev,transformer/diffusion_pytorch_model-00002-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:15.630014
black-forest-labs/FLUX.1-dev,transformer/diffusion_pytorch_model-00003-of-00003.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:17.306032
black-forest-labs/FLUX.1-dev,vae/diffusion_pytorch_model.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:18.964276
microsoft/BiomedParse,biomedparse_v1.pt,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:20.824916
google/gemma-3-4b-it,model-00001-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:28.169802
google/gemma-3-4b-it,model-00002-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:57:29.826584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,model-00001-of-000002.safetensors,file_too_large,File size 8.0GB exceeds limit,2025-08-08T23:57:41.324811
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,model-00002-of-000002.safetensors,file_too_large,File size 6.2GB exceeds limit,2025-08-08T23:57:42.864146
facebook/esmfold_v1,pytorch_model.bin,file_too_large,File size 7.9GB exceeds limit,2025-08-08T23:57:57.589874
facebook/musicgen-medium,pytorch_model.bin,file_too_large,File size 7.5GB exceeds limit,2025-08-08T23:58:12.247789
google-t5/t5-3b,model.safetensors,file_too_large,File size 10.6GB exceeds limit,2025-08-08T23:58:15.408114
